Sredni czas oczekiwania: 462.91
pNumber,burstTime,arrivalTime,waitingTime,endTime
0,5,0,0,5,
1,17,0,5,22,
2,10,0,22,32,
3,11,0,32,43,
4,10,0,43,53,
5,10,0,53,63,
6,3,0,63,66,
7,3,0,66,69,
8,5,0,69,74,
9,18,0,74,92,
10,16,0,92,108,
11,4,0,108,112,
12,10,0,112,122,
13,2,0,122,124,
14,2,0,124,126,
15,18,0,126,144,
16,9,0,144,153,
17,19,0,153,172,
18,2,0,172,174,
19,7,0,174,181,
20,2,0,181,183,
21,9,0,183,192,
22,7,0,192,199,
23,7,0,199,206,
24,4,0,206,210,
25,2,0,210,212,
26,6,0,212,218,
27,8,0,218,226,
28,6,0,226,232,
29,18,0,232,250,
30,19,0,250,269,
31,16,0,269,285,
32,5,0,285,290,
33,8,0,290,298,
34,18,0,298,316,
35,6,0,316,322,
36,15,0,322,337,
37,3,0,337,340,
38,10,0,340,350,
39,10,0,350,360,
40,14,0,360,374,
41,13,0,374,387,
42,15,0,387,402,
43,1,0,402,403,
44,18,0,403,421,
45,7,0,421,428,
46,2,0,428,430,
47,5,0,430,435,
48,15,0,435,450,
49,19,0,450,469,
50,9,0,469,478,
51,7,0,478,485,
52,2,0,485,487,
53,18,0,487,505,
54,1,0,505,506,
55,16,0,506,522,
56,2,0,522,524,
57,8,0,524,532,
58,2,0,532,534,
59,12,0,534,546,
60,2,0,546,548,
61,4,0,548,552,
62,12,0,552,564,
63,16,0,564,580,
64,11,0,580,591,
65,15,0,591,606,
66,11,0,606,617,
67,17,0,617,634,
68,10,0,634,644,
69,7,0,644,651,
70,14,0,651,665,
71,6,0,665,671,
72,11,0,671,682,
73,15,0,682,697,
74,2,0,697,699,
75,17,0,699,716,
76,16,0,716,732,
77,13,0,732,745,
78,10,0,745,755,
79,7,0,755,762,
80,17,0,762,779,
81,4,0,779,783,
82,16,0,783,799,
83,16,0,799,815,
84,10,0,815,825,
85,1,0,825,826,
86,9,0,826,835,
87,5,0,835,840,
88,18,0,840,858,
89,10,0,858,868,
90,6,0,868,874,
91,19,0,874,893,
92,16,0,893,909,
93,15,0,909,924,
94,13,0,924,937,
95,13,0,937,950,
96,6,0,950,956,
97,16,0,956,972,
98,17,0,972,989,
99,4,0,989,993,
