Sredni czas oczekiwania: 14410.5
pNumber,burstTime,arrivalTime,waitingTime,endTime
531,21,1,0,22,
598,34,1,21,56,
853,30,1,55,86,
934,35,1,85,121,
362,35,2,119,156,
422,27,2,154,183,
543,29,2,181,212,
942,27,2,210,239,
553,28,4,235,267,
779,36,5,262,303,
890,25,5,298,328,
104,32,6,322,360,
317,21,6,354,381,
812,23,6,375,404,
563,30,7,397,434,
17,17,8,426,451,
621,28,8,443,479,
652,32,8,471,511,
895,24,12,499,535,
906,28,12,523,563,
181,25,13,550,588,
280,22,13,575,610,
329,28,13,597,638,
673,32,13,625,670,
894,39,13,657,709,
137,29,14,695,738,
334,21,14,724,759,
488,27,14,745,786,
592,27,14,772,813,
919,31,14,799,844,
2,33,17,827,877,
474,22,17,860,899,
542,31,17,882,930,
588,31,17,913,961,
635,34,17,944,995,
30,30,19,976,1025,
93,23,19,1006,1048,
100,30,19,1029,1078,
150,27,19,1059,1105,
723,28,20,1085,1133,
460,28,21,1112,1161,
86,38,22,1139,1199,
316,26,22,1177,1225,
536,22,22,1203,1247,
105,19,23,1224,1266,
880,34,23,1243,1300,
354,36,24,1276,1336,
869,33,26,1310,1369,
199,26,28,1341,1395,
28,30,29,1366,1425,
166,33,30,1395,1458,
521,29,30,1428,1487,
575,34,31,1456,1521,
610,28,32,1489,1549,
322,29,33,1516,1578,
356,30,33,1545,1608,
391,28,33,1575,1636,
790,27,33,1603,1663,
32,27,34,1629,1690,
293,25,34,1656,1715,
510,31,34,1681,1746,
308,22,35,1711,1768,
775,23,35,1733,1791,
979,27,35,1756,1818,
455,41,36,1782,1859,
920,37,36,1823,1896,
925,39,37,1859,1935,
136,28,38,1897,1963,
208,28,38,1925,1991,
310,34,38,1953,2025,
18,36,40,1985,2061,
405,24,40,2021,2085,
582,29,40,2045,2114,
689,27,40,2074,2141,
888,30,40,2101,2171,
390,33,41,2130,2204,
841,41,42,2162,2245,
31,37,43,2202,2282,
616,29,43,2239,2311,
266,28,44,2267,2339,
288,35,44,2295,2374,
281,34,45,2329,2408,
513,33,45,2363,2441,
694,30,45,2396,2471,
808,34,45,2426,2505,
461,32,46,2459,2537,
257,25,47,2490,2562,
796,27,47,2515,2589,
810,32,47,2542,2621,
994,24,48,2573,2645,
642,29,49,2596,2674,
183,34,50,2624,2708,
418,25,50,2658,2733,
440,22,50,2683,2755,
773,28,51,2704,2783,
911,33,51,2732,2816,
6,28,52,2764,2844,
485,29,52,2792,2873,
523,34,52,2821,2907,
430,28,53,2854,2935,
26,28,54,2881,2963,
161,22,54,2909,2985,
884,34,54,2931,3019,
897,27,55,2964,3046,
89,27,56,2990,3073,
497,31,56,3017,3104,
938,27,56,3048,3131,
990,21,56,3075,3152,
769,23,58,3094,3175,
845,35,59,3116,3210,
583,28,60,3150,3238,
108,23,61,3177,3261,
365,34,61,3200,3295,
670,24,61,3234,3319,
743,36,61,3258,3355,
353,29,62,3293,3384,
39,31,63,3321,3415,
301,21,63,3352,3436,
304,33,63,3373,3469,
345,21,63,3406,3490,
783,34,63,3427,3524,
9,20,64,3460,3544,
163,30,64,3480,3574,
197,28,65,3509,3602,
398,31,66,3536,3633,
475,33,66,3567,3666,
758,25,67,3599,3691,
122,34,68,3623,3725,
364,39,68,3657,3764,
505,18,68,3696,3782,
876,30,68,3714,3812,
256,27,69,3743,3839,
905,23,69,3770,3862,
234,25,70,3792,3887,
416,28,70,3817,3915,
867,30,70,3845,3945,
