Sredni czas oczekiwania: 532.6
pNumber,burstTime,arrivalTime,waitingTime,endTime
43,14,1,0,15,
59,19,1,14,34,
11,1,2,32,35,
14,16,2,33,51,
21,4,2,49,55,
27,17,2,53,72,
34,18,2,70,90,
53,15,2,88,105,
28,6,3,102,111,
15,11,4,107,122,
29,13,6,116,135,
47,17,6,129,152,
94,4,6,146,156,
38,18,7,149,174,
48,10,7,167,184,
72,16,7,177,200,
85,9,7,193,209,
31,16,8,201,225,
36,15,9,216,240,
66,5,9,231,245,
87,19,9,236,264,
3,10,11,253,274,
8,1,11,263,275,
22,13,11,264,288,
9,10,12,276,298,
57,5,12,286,303,
92,17,12,291,320,
88,1,13,307,321,
93,1,13,308,322,
99,4,13,309,326,
17,13,14,312,339,
42,16,14,325,355,
33,16,17,338,371,
49,2,17,354,373,
63,6,17,356,379,
91,2,17,362,381,
16,17,19,362,398,
64,11,20,378,409,
41,15,21,388,424,
80,6,21,403,430,
37,7,22,408,437,
13,9,23,414,446,
45,2,23,423,448,
58,8,23,425,456,
62,17,23,433,473,
97,16,23,450,489,
0,18,24,465,507,
56,14,24,483,521,
30,18,25,496,539,
67,8,25,514,547,
40,14,26,521,561,
50,9,26,535,570,
60,17,27,543,587,
95,19,27,560,606,
5,11,28,578,617,
70,8,28,589,625,
73,11,28,597,636,
23,6,29,607,642,
52,18,29,613,660,
61,11,29,631,671,
82,5,29,642,676,
10,11,30,646,687,
25,19,30,657,706,
76,6,30,676,712,
78,13,30,682,725,
12,16,31,694,741,
83,12,31,710,753,
89,15,31,722,768,
1,3,32,736,771,
24,7,33,738,778,
65,19,33,745,797,
96,11,33,764,808,
39,13,34,774,821,
68,11,34,787,832,
18,9,35,797,841,
26,10,35,806,851,
35,15,36,815,866,
81,3,36,830,869,
2,1,37,832,870,
4,17,38,832,887,
75,18,38,849,905,
19,17,39,866,922,
51,13,39,883,935,
69,7,39,896,942,
79,12,41,901,954,
20,6,42,912,960,
74,17,42,918,977,
7,16,45,932,993,
44,19,45,948,1012,
46,8,45,967,1020,
86,19,45,975,1039,
32,15,46,993,1054,
77,13,46,1008,1067,
84,7,46,1021,1074,
71,15,47,1027,1089,
98,19,47,1042,1108,
6,11,48,1060,1119,
54,15,48,1071,1134,
55,7,49,1085,1141,
90,17,49,1092,1158,
