Sredni czas oczekiwania: 330.9
pNumber,burstTime,arrivalTime,waitingTime,endTime
0,5,0,0,5,
43,1,0,5,6,
54,1,0,6,7,
85,1,0,7,8,
13,2,0,8,10,
14,2,0,10,12,
18,2,0,12,14,
20,2,0,14,16,
25,2,0,16,18,
46,2,0,18,20,
52,2,0,20,22,
56,2,0,22,24,
58,2,0,24,26,
60,2,0,26,28,
74,2,0,28,30,
6,3,0,30,33,
7,3,0,33,36,
37,3,0,36,39,
11,4,0,39,43,
24,4,0,43,47,
61,4,0,47,51,
81,4,0,51,55,
99,4,0,55,59,
8,5,0,59,64,
32,5,0,64,69,
47,5,0,69,74,
87,5,0,74,79,
26,6,0,79,85,
28,6,0,85,91,
35,6,0,91,97,
71,6,0,97,103,
90,6,0,103,109,
96,6,0,109,115,
19,7,0,115,122,
22,7,0,122,129,
23,7,0,129,136,
45,7,0,136,143,
51,7,0,143,150,
69,7,0,150,157,
79,7,0,157,164,
27,8,0,164,172,
33,8,0,172,180,
57,8,0,180,188,
16,9,0,188,197,
21,9,0,197,206,
50,9,0,206,215,
86,9,0,215,224,
2,10,0,224,234,
4,10,0,234,244,
5,10,0,244,254,
12,10,0,254,264,
38,10,0,264,274,
39,10,0,274,284,
68,10,0,284,294,
78,10,0,294,304,
84,10,0,304,314,
89,10,0,314,324,
3,11,0,324,335,
64,11,0,335,346,
66,11,0,346,357,
72,11,0,357,368,
59,12,0,368,380,
62,12,0,380,392,
41,13,0,392,405,
77,13,0,405,418,
94,13,0,418,431,
95,13,0,431,444,
40,14,0,444,458,
70,14,0,458,472,
36,15,0,472,487,
42,15,0,487,502,
48,15,0,502,517,
65,15,0,517,532,
73,15,0,532,547,
93,15,0,547,562,
10,16,0,562,578,
31,16,0,578,594,
55,16,0,594,610,
63,16,0,610,626,
76,16,0,626,642,
82,16,0,642,658,
83,16,0,658,674,
92,16,0,674,690,
97,16,0,690,706,
1,17,0,706,723,
67,17,0,723,740,
75,17,0,740,757,
80,17,0,757,774,
98,17,0,774,791,
9,18,0,791,809,
15,18,0,809,827,
29,18,0,827,845,
34,18,0,845,863,
44,18,0,863,881,
53,18,0,881,899,
88,18,0,899,917,
17,19,0,917,936,
30,19,0,936,955,
49,19,0,955,974,
91,19,0,974,993,
