Sredni czas oczekiwania: 796.19
pNumber,burstTime,arrivalTime,waitingTime,endTime
14,19,1,0,20,
5,9,5,15,29,
18,9,6,23,38,
38,10,11,27,48,
71,7,42,6,55,
76,11,21,34,66,
79,11,26,40,77,
8,11,45,32,88,
12,12,11,77,100,
16,12,23,77,112,
35,13,10,102,125,
69,13,18,107,138,
37,13,19,119,151,
23,13,22,129,164,
66,13,42,122,177,
96,14,22,155,191,
97,14,47,144,205,
42,15,7,198,220,
53,15,8,212,235,
78,15,12,223,250,
72,15,17,233,265,
1,15,22,243,280,
28,15,23,257,295,
32,15,24,271,310,
52,15,32,278,325,
89,15,34,291,340,
74,15,36,304,355,
68,15,44,311,370,
98,16,2,368,386,
20,16,24,362,402,
11,16,29,373,418,
45,17,4,414,435,
41,17,7,428,452,
65,17,7,445,469,
60,17,9,460,486,
10,17,12,474,503,
13,17,15,488,520,
33,17,22,498,537,
39,17,46,491,554,
88,18,3,551,572,
86,18,14,558,590,
27,18,25,565,608,
51,18,48,560,626,
80,19,13,613,645,
40,19,16,629,664,
95,19,19,645,683,
4,19,20,663,702,
15,19,49,653,721,
64,20,3,718,741,
25,20,10,731,761,
54,20,15,746,781,
85,20,15,766,801,
50,20,22,779,821,
36,20,25,796,841,
84,20,33,808,861,
61,20,41,820,881,
48,21,4,877,902,
9,21,5,897,923,
57,21,8,915,944,
90,21,13,931,965,
87,21,27,938,986,
82,21,45,941,1007,
93,22,2,1005,1029,
55,22,7,1022,1051,
34,22,15,1036,1073,
2,22,27,1046,1095,
0,22,29,1066,1117,
99,22,29,1088,1139,
63,22,30,1109,1161,
73,22,36,1125,1183,
94,22,42,1141,1205,
43,23,8,1197,1228,
6,23,12,1216,1251,
17,23,12,1239,1274,
26,23,19,1255,1297,
7,23,26,1271,1320,
77,23,26,1294,1343,
58,23,40,1303,1366,
83,24,8,1358,1390,
24,24,13,1377,1414,
81,24,18,1396,1438,
92,24,20,1418,1462,
62,24,22,1440,1486,
22,24,29,1457,1510,
46,24,45,1465,1534,
3,25,12,1522,1559,
29,25,16,1543,1584,
19,26,35,1549,1610,
21,26,41,1569,1636,
59,26,48,1588,1662,
67,26,48,1614,1688,
47,27,33,1655,1715,
91,28,11,1704,1743,
30,28,19,1724,1771,
44,29,5,1766,1800,
70,29,45,1755,1829,
75,30,8,1821,1859,
56,30,46,1813,1889,
49,31,27,1862,1920,
31,31,41,1879,1951,
