Sredni czas oczekiwania: 398.8
pNumber,burstTime,arrivalTime,waitingTime,endTime
43,14,1,0,15,
11,1,2,13,16,
8,1,11,5,17,
88,1,13,4,18,
93,1,13,5,19,
49,2,17,2,21,
91,2,17,4,23,
45,2,23,0,25,
21,4,2,23,29,
94,4,6,23,33,
1,3,32,1,36,
81,3,36,0,39,
2,1,37,2,40,
99,4,13,27,44,
66,5,9,35,49,
57,5,12,37,54,
82,5,29,25,59,
28,6,3,56,65,
63,6,17,48,71,
80,6,21,50,77,
23,6,29,48,83,
76,6,30,53,89,
20,6,42,47,95,
37,7,22,73,102,
24,7,33,69,109,
69,7,39,70,116,
84,7,46,70,123,
55,7,49,74,130,
58,8,23,107,138,
67,8,25,113,146,
70,8,28,118,154,
46,8,45,109,162,
85,9,7,155,171,
13,9,23,148,180,
50,9,26,154,189,
18,9,35,154,198,
48,10,7,191,208,
3,10,11,197,218,
9,10,12,206,228,
26,10,35,193,238,
15,11,4,234,249,
64,11,20,229,260,
5,11,28,232,271,
73,11,28,243,282,
61,11,29,253,293,
10,11,30,263,304,
96,11,33,271,315,
68,11,34,281,326,
6,11,48,278,337,
83,12,31,306,349,
79,12,41,308,361,
29,13,6,355,374,
22,13,11,363,387,
17,13,14,373,400,
78,13,30,370,413,
39,13,34,379,426,
51,13,39,387,439,
77,13,46,393,452,
56,14,24,428,466,
40,14,26,440,480,
53,15,2,478,495,
36,15,9,486,510,
41,15,21,489,525,
89,15,31,494,540,
35,15,36,504,555,
32,15,46,509,570,
71,15,47,523,585,
54,15,48,537,600,
14,16,2,598,616,
72,16,7,609,632,
31,16,8,624,648,
42,16,14,634,664,
33,16,17,647,680,
97,16,23,657,696,
12,16,31,665,712,
7,16,45,667,728,
27,17,2,726,745,
47,17,6,739,762,
92,17,12,750,779,
16,17,19,760,796,
62,17,23,773,813,
60,17,27,786,830,
4,17,38,792,847,
19,17,39,808,864,
74,17,42,822,881,
90,17,49,832,898,
34,18,2,896,916,
38,18,7,909,934,
0,18,24,910,952,
30,18,25,927,970,
52,18,29,941,988,
75,18,38,950,1006,
59,19,1,1005,1025,
87,19,9,1016,1044,
95,19,27,1017,1063,
25,19,30,1033,1082,
65,19,33,1049,1101,
44,19,45,1056,1120,
86,19,45,1075,1139,
98,19,47,1092,1158,
